,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
56,GdPtSb,['F-43m'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_40_CollCode57318.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_19_CollCode53624.cif']]",[['MgAgAs']]
57,BaPtSb,['P-6m2'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_46_CollCode59186.cif']],[['LiBaSi']]
58,ZrNBr,"['P-3m1', 'PmmnS', 'R-3mH']",10,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_16_CollCode25507.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_18_CollCode27393.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_83_CollCode87797.cif']]","[['Ce2Si2I2'], ['FeClO'], ['SmSI']]"
59,VRhAs,['Pnma'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode107965.cif']],[[None]]
60,KMnP,['P4/nmmS'],6,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode89593.cif']],[['PbClF']]
61,GdIrGe,['Pnma'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_84_CollCode88163.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_19_CollCode635746.cif']]",[['TiNiSi']]
62,CaAuBi,"['F-43m', 'P63mc']",11,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode248676.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode248680.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode248682.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode248677.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode248681.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode248683.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode248679.cif']]","[['MgAgAs'], ['LiGaGe']]"
63,SmPtGe,"['Imma', 'PmmnZ', 'Pnma']",5,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_69_CollCode190151.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_73_CollCode402088.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode410350.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode410349.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_24_CollCode637652.cif']]","[['KHg2'], ['YPdSi'], ['TiNiSi']]"
64,CeRhSb,"['Imma', 'Pnma']",2,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_56_CollCode658479.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_88_CollCode90870.cif']]","[['KHg2'], ['TiNiSi']]"
65,GdCuGe,"['P6/mmm', 'P63mc']",4,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_55_CollCode658035.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_69_CollCode416030.cif']]","[['SmNiSb'], ['LiGaGe']]"
66,ThPTe,['I4/mmm'],2,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_91_CollCode428548.cif']],[[None]]
67,CeNiSi,"['I41/amdZ', 'I41md']",4,2,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode621667.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_20_CollCode152749.cif']]","[['ThSi2'], ['LaPtSi']]"
68,NaSnP,['P63mc'],3,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_76_CollCode409010.cif']],[[None]]
69,YbLiPb,['P-6m2'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_12_CollCode409534.cif']],[['CaLiPb']]
