,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
843,ZrCrP,['Pnma'],1,0,[['sd_0461421.cif']],[['TiNiSi']]
844,LuPdAs,['P-62m'],1,3,[['sd_0303799.cif']],[['ZrNiAl']]
845,ThIrGa,['P-62m'],1,3,[['sd_1010474.cif']],[['ZrNiAl']]
846,HoMnSi,['Pnma'],2,0,[['sd_1803504.cif']],[['TiNiSi']]
847,YSF,['P63/mmc'],1,3,[['sd_1900757.cif']],[['YSF']]
848,MnIrAl,['Fm-3m'],1,3,[['sd_0558288.cif']],[['CaF2']]
849,HoPdSn,"['P-62m', 'Pnma']",4,5,"[['sd_0458846.cif'], ['sd_0559169.cif', 'sd_1227703.cif']]","[['ZrNiAl'], ['TiNiSi']]"
850,CaCuSn,['Imm2'],1,0,[['sd_1623232.cif']],[['AuYbSn']]
851,MnRuAs,['P-62m'],2,3,[['sd_0538597.cif']],[['ZrNiAl']]
852,HoPtIn,['P-62m'],2,3,[['sd_1722104.cif']],[['ZrNiAl']]
853,HoPtBi,['F-43m'],1,0,[['sd_1011959.cif']],[['MgAgAs']]
854,MgNiSb,['F-43m'],2,0,"[['sd_0540404.cif', 'sd_0540429.cif']]",[['MgAgAs']]
855,CaPtGe,['Pnma'],2,0,"[['sd_0303772.cif', 'sd_0537635.cif']]",[['TiNiSi']]
856,NdPtSn,"['P-62m', 'Pnma']",2,5,"[['sd_1910593.cif'], ['sd_1910592.cif']]","[['ZrNiAl'], ['TiNiSi']]"
857,GdNiBi,['F-43m'],1,0,[['sd_1011958.cif']],[['MgAgAs']]
858,UGeSe,['I4/mmm'],2,0,"[['sd_0460931.cif', 'sd_0545745.cif']]",[['UGeTe']]
859,DyPdSn,['Pnma'],4,0,"[['sd_0559168.cif', 'sd_1227702.cif', 'sd_0300464.cif']]",[['TiNiSi']]
860,DyNiSb,['F-43m'],3,0,"[['sd_1011964.cif', 'sd_1011376.cif']]",[['MgAgAs']]
861,SrAgSn,['Imma'],1,3,[['sd_1616263.cif']],[['KHg2']]
862,HfPdSn,['F-43m'],1,0,[['sd_0460702.cif']],[['MgAgAs']]
863,BaCuN,['C12/c1'],1,0,[['sd_1611530.cif']],[['BaCuN']]
864,ThPtGa,['P-62m'],1,3,[['sd_1010475.cif']],[['ZrNiAl']]
865,RhBiS,['P213'],1,0,[['sd_1006217.cif']],[['NiSbS']]
866,YbPdAs,['P-62m'],1,3,[['sd_0303798.cif']],[['ZrNiAl']]
867,NbNiB,['Cmcm'],1,0,[['sd_1102065.cif']],[['MoAlB']]
868,ErMnSi,['Pnma'],2,0,[['sd_1803505.cif']],[['TiNiSi']]
869,ZrMnP,['Pnma'],1,0,[['sd_0461420.cif']],[['TiNiSi']]
870,NdNiGa,['Pnma'],2,0,[['sd_1233572.cif']],[['HoNiGa']]
