,Unnamed: 0,Composition,Type,Experimental Structure,EP 1 element,EP 1 Ehull (eV/atom),EP 1 band gap (eV),EP 1 Entry id,EP 2 element,EP 2 Ehull (eV/atom),EP 2 band gap (eV),EP 2 Entry id,EP 3 element,EP 3 Ehull (eV/atom),EP 3 band gap (eV),EP 3 Entry id
294,10,NbNiSn,III_IV,phase_separating,Nb,0.692,0,919962,Ni,0.09,0,959193,Sn,0.758,0,925612
295,11,HfCrGa,III_IV,phase_separating,Hf,1.06,0,862469,Cr,0.763,0,836036,Ga,0.671,0,952388
296,12,SmCoB,III_IV,phase_separating,Sm,1.664,0,576422,Co,0.992,0,860231,B,0.75,,908599
297,13,NaSbTe,III_IV,phase_separating,Na,0.473,0,569510,Sb,0.477,0,917913,Te,0.452,0,845073
298,14,NiZnSi,III_IV,phase_separating,Zn,0.505,0,915171,Si,0.26,0,579422,Ni,0.123,0,960586
299,15,MgMoNi,III_IV,phase_separating,Mg,1.419,0,843380,Ni,0.538,0,960059,Mo,1.069,0,884158
300,16,NbCrB,III_IV,phase_separating,Nb,1.77,0,920162,Cr,1.542,0,833700,B,0.565,0,910302
301,17,FeNiAl,III_IV,phase_separating,Al,0.711,0,942454,Fe,0.598,0,956376,Ni,0.38,0,959050
302,18,MoGaAs,III_IV,phase_separating,Ga,1.095,0,952685,Mo,0.645,0,884539,As,0.717,0,583139
303,19,TiNbB,III_IV,phase_separating,Ti,1.787,0,992172,Nb,1.755,0,919341,B,0.313,0,909598
304,20,IrRhPd,III_IV,phase_separating,Ir,0.634,0,892844,Pd,0.835,0,899883,Rh,0.649,0,885802
305,21,ScReSi,III_IV,phase_separating,Sc,1.569,0,564370,Re,0.816,0,972268,Si,0.534,0,580798
306,22,CdGaAs,III_IV,phase_separating,Cd,0.343,0.334,986780,Ga,0.359,0,952732,As,0.264,0,581939
307,23,PrMnB,III_IV,phase_separating,Pr,1.691,0,838225,Mn,1.283,0,903325,B,0.772,0,908988
308,24,HoOsGe,III_IV,phase_separating,Ho,1.309,0,892076,Ge,0.638,0,867557,Os,0.507,0,573767
309,25,CeCrB,III_IV,phase_separating,Ce,1.799,0,922722,Cr,1.442,0,834557,B,0.948,0,909723
310,0,SrPdAs,III_IV,AsHgK (P63/mmc),Sr,0.986,0,975610,As,0.446,0,828061,Pd,0.378,0,899302
311,1,CaRhIn,III_IV,MgSrSi (Pnma),Ca,0.865,0,878899,In,0.505,0,888909,Rh,0.16,0,886136
312,2,NaAuGe,III_IV,OTHER,Na,0.665,0,569340,Ge,0.31,0,869265,Au,0.249,0,946874
313,3,MgAlSi,III_IV,MgSrSi (Pnma),Mg,0.455,0,842755,Al,0.318,0,941067,Si,0.165,0,580940
314,4,BaAlSn,III_IV,OTHER,Ba,0.788,0,865330,Al,0.315,0,942180,Sn,0.407,0,924639
315,5,HfNiGe,III_IV,MgSrSi (Pnma),Hf,0.803,0,862251,Ni,0,0.624,959789,Ge,0.496,0,867493
316,6,EuAuCd,III_IV,MgSrSi (Pnma),Eu,0.417,,940723,Cd,0.328,,984837,Au,0.095,,947794
317,7,HfMnSi,III_IV,MgSrSi (Pnma),Hf,1.21,0,862131,Mn,0.636,0,903393,Si,0.544,0,580993
318,8,ErLiGe,III_IV,MoNiP (P-62m),Li,0.289,0,880732,Er,0.637,0.615,873124,Ge,0.156,0.813,867075
319,9,BaCdPb,III_IV,OTHER,Ba,0.539,0,865591,Cd,0.126,0,986111,Pb,0.149,0,928608
320,10,YZnGe,III_IV,OTHER,Y,0.575,0,857146,Zn,0.334,0,913049,Ge,0.315,0,869109
321,11,YbIrGe,III_IV,MgSrSi (Pnma),Yb,1.211,0,829214,Ge,0.542,0,867330,Ir,0.373,0,893934
322,12,PrNiGe,III_IV,MgSrSi (Pnma),Pr,0.965,0,836693,Ni,0.228,0,959442,Ge,0.521,0,868461
